"","trial","round","agent","reward","choice"
"558",15,6,2,10.0540548058523,10
"559",15,6,3,-1.51473196335247,5
"560",15,6,4,-2.07214519285007,5
"561",16,6,1,7.06161718029943,9
"562",16,6,2,10.2416539170173,10
"563",16,6,3,-0.401220992059566,5
"564",16,6,4,0.772085992781794,5
"565",17,6,1,12.060434296538,10
"566",17,6,2,10.4862543597338,10
"567",17,6,3,-5.08851268641443,3
"568",17,6,4,8.07176769034468,10
"569",18,6,1,6.66508763072309,8
"570",18,6,2,5.18561115418348,8
"571",18,6,3,8.30650795704268,10
"572",18,6,4,4.24019647786571,8
"573",19,6,1,-3.80317042514106,4
"574",19,6,2,8.90416863689748,10
"575",19,6,3,10.1782406377781,10
"576",19,6,4,9.76977652673941,10
"577",20,6,1,9.82240804251096,10
"578",20,6,2,8.38398241767856,10
"579",20,6,3,10.4718647255459,10
"580",20,6,4,8.71123871312515,10
"581",21,6,1,10.0552641265296,10
"582",21,6,2,9.82628071096964,10
"583",21,6,3,-11.2944466333057,1
"584",21,6,4,10.2803493955738,10
"585",22,6,1,8.05370623221684,9
"586",22,6,2,10.6453445252139,10
"587",22,6,3,8.26319568546261,9
"588",22,6,4,10.0221023066059,10
"589",23,6,1,5.77016469089259,8
"590",23,6,2,10.7131479671716,10
"591",23,6,3,3.05966632025895,7
"592",23,6,4,10.5851645343772,10
"593",24,6,1,2.07494279651266,7
"594",24,6,2,2.48136379221386,7
"595",24,6,3,8.41182343425844,10
"596",24,6,4,10.0304563820265,10
"597",25,6,1,-1.37083768890463,6
"598",25,6,2,9.516424188985,10
"599",25,6,3,11.1274929220786,10
"600",25,6,4,1.23562894148631,6
